cluster_id,label,size,description,keywords,sample_titles,nna_mentions
-1,Outliers (Casos Atpicos),99,Noticias sin similitud suficiente con otros grupos,N/A,"CDMX concentra cuarta parte de víctimas de trata; 80% son niñas y adolescentes | Sembrando Vidas mantiene brechas de género entre mujeres ejidatarias, alerta organización | Fibromialgia, una enfermedad de mujeres. La historia de Thaily",7
0,Cluster 0,114,Grupo temtico 0,"feminicidio, méxico, hijos, huérfanos, víctimas, feminicidios, víctimas feminicidio, huérfanos feminicidio","En 11 días, dos regidoras fueron asesinadas en el país | La esperanza de vida sube, pero ¿y la calidad? | Frankenstein, criatura con rostro de mujer. Pensamiento feminista del siglo XIX, su origen",34
1,Cluster 1,4,Grupo temtico 1,"ia, inteligencia artificial, artificial ia, artificial, inteligencia, abuso sexual, denunciar, abuso",Iniciaron trabajos del Plan integral contra el abuso sexual en México | Se multiplican casos de violencia sexual digital con IA en Zacatecas. Adolescentes protestan | Protesta Paul McCartney contra la IA con tema silente,1
2,Cluster 2,2,Grupo temtico 2,"juchitán zaragoza, juchitán, zaragoza, ahí, soledad, jarquín edgar, semméxico oaxaca, zaragoza es",Mujeres y Política| Noelia y Adilene y la responsabilidad del Estado | Juchitán el municipio más peligroso para las mujeres en Oaxaca,1
3,Cluster 3,8,Grupo temtico 3,"mundial, costa, costa rica, rica, 2026, mundial 2026, herrera, repechaje","Exhibido en su pacto con capos, Bukele arremete contra la prensa | Alemania y Países Bajos, dos históricos que sellan sus boletos | Javier Aguirre se disculpa con la afición",0
4,Cluster 4,2,Grupo temtico 4,"morelia, morelia mich, mich, michoacán, campos agrícolas, campos, falla, seis","Seis heridos tras desplome de avioneta en Purépero, Michoacán | Uruapan, en quiebra técnica",0
5,Cluster 5,2,Grupo temtico 5,"centro, corte justicia, justicia nación, suprema, suprema corte, scjn, nación scjn, nación",Asume nuevo Comité de Gobierno de la Corte | Discutirá hoy la Suprema Corte el presupuesto para agraviados,0
6,Cluster 6,10,Grupo temtico 6,"marcha, generación, fueron, marcha llamada, llamada generación, llamada, tres, ellos","Frenar estigmatización de la protesta pacífica, pide la ONU al gobierno | Ensayan desfile cívico-militar de la Revolución | Defiende Brugada la actuación de policías; no hubo ninguna orden de reprimir, sostiene",1
7,Cluster 7,2,Grupo temtico 7,"israel, mil, unas, ayer, ciudad gaza, ubicado, museo, gaza","Israel robó miles de piezas de  un museo destruido en Gaza | Israel bloquea ayuda para 288 mil familias; bajo su custodia, 98 muertos",0
8,Cluster 8,4,Grupo temtico 8,"menores edad, edad, menores, edad infobae, ellas menores, ellas, volcánicas, feminicida",Más de 22 millones de personas perecerán  por recortes de ayuda | Violencia feminicida: ¿Qué pasa cuando los perpetradores son menores de edad? - Volcánicas | Buscan que pena de cárcel aumente por el delito de feminicidio cuando las víctimas sean menores de edad - Infobae,0
9,Cluster 9,2,Grupo temtico 9,"200, mil, mil 200, ventas, mera, mercado, ciento, informó",Estados Unidos quita aranceles a 100 alimentos peruanos | El olor a pino llegó a Jamaica y con él las ventas por la Navidad,0
10,Cluster 10,2,Grupo temtico 10,"unidas onu, organización naciones, onu, organización, naciones unidas, unidas, naciones, ayer",Sentencian en Bangladesh a ex primera ministra a pena de muerte por represión | Consejo de Seguridad de la ONU avala ocupación internacional de Gaza,0
11,Cluster 11,2,Grupo temtico 11,"san antonio, antonio, san, caer, caer ante, ante paraguay, paraguay, ganar","Quien no esté listo para el juicio público, no sirve para esto: Aguirre | Cierra Tri el año con derrota  y mala racha",0
12,Cluster 12,6,Grupo temtico 12,"adolescentes méxico, redim, incidencia política, incidencia, feminicidio niñas, política redim, blog datos, blog",Feminicidio De Niñas Y Adolescentes En México (a Febrero De 2025) - Blog de datos e incidencia política de REDIM | Feminicidio De Niñas Y Adolescentes En México (a Marzo De 2025) - Blog de datos e incidencia política de REDIM | Feminicidio De Niñas Y Adolescentes En México (a Octubre De 2024) - Blog de datos e incidencia política de REDIM,6
13,Cluster 13,2,Grupo temtico 13,"lomas, ocurrido, andrade, natalia, argentina, marzo, clúster querétaro, clúster",Niño de 12 años mató a su vecina argentina en Puebla México por reto de compañeros de escuela | Niño de 12 años va a juicio por el asesinato de una mujer argentina; cumplió un reto de TikTok,1
