is_feminicide,has_children,has_orphans,is_target_news,confidence,matched_patterns,priority,titulo,fuente,fecha,menores_identificados_original
False,False,False,False,0.0,{},IRRELEVANTE,"Marcos Roitman Rosenmann: Los Nobel de la Paz, antesala de invasiones y guerras",https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Instituciones de salud atenderán sin exigir la derechohabiencia,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Napoleón Gómez Urrutia: El poder de las alianzas internacionales,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Ordena tribunal laboral recuento sobre la huelga en el Monte de Piedad,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Rechaza Alito Moreno responsabilidad del PRI en derrotas del PAN,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Continuará el INE proceso contra seis consejeros tras fallo del Tribunal Elector,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Rosa Miriam Elizalde: Rubio y la internacional del chantaje,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Incumplió MC criterios de paridad y violencia política de género: TEPJF,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Imanol Ordorika: La UNAM frente a su crisis estructural,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Ilán Semo: Vindicación de Cabral,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Dan hasta 54 años de cárcel a 3 asesinos de agentes,https://www.jornada.com.mx/rss/politica.xml,N/A,Si
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Atrae la Corte querella de Hacienda contra ex directivo de la Cooperativa Cruz A,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Presentan libro de Leonardo Lomelí Vanegas en Madrid,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,"Mayores de 50 años deben vacunarse contra covid-19, neumonía e influenza",https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Senadores de Morena descartan hacer cambios a la Ley de Ingresos aprobada por di,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Empleados de Canal 11 denuncian afectaciones a sus derechos,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,"En tres meses, los Centros Libre han atendido a casi 100 mil mujeres",https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Aprueba la Cámara dictamen de nueva Ley Orgánica de la Marina,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,False,False,False,0.0,"{'feminicide': [], 'children': [], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Modelo chino que reduce inundaciones se puede aplicar en México: experta,https://www.jornada.com.mx/rss/politica.xml,N/A,No
False,True,False,False,0.15,"{'feminicide': [], 'children': ['\\bhij[oa]s?\\b'], 'orphans': [], 'reinforcing': []}",IRRELEVANTE,Piden incluir en cuadro básico medicamentos para tratar la talla baja,https://www.jornada.com.mx/rss/politica.xml,N/A,Si
