titulo,contenido,fuente,fecha,cluster,menores_identificados
"Primer revés de la SCJN a impugnación presidencial, sobre datos de marinos","La llamada nueva Suprema Corte de Justicia de la Nación (SCJN) dio ayer su primer revés a un recurso de revisión en materia de seguridad nacional promovido en 2022 por la Consejería Jurídica de la Presidencia de la República, entonces encabezada por la hoy ministra María Estela Ríos González. En la sesión, la propia togada fue declarada legalmente impedida para intervenir en el asunto.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Pasa al pleno de San Lázaro reforma para que Senado avale ascensos en la GN,"La Comisión de Puntos Constitucionales de la Cámara de Diputados aprobó anoche la reforma que da al Senado la facultad de ratificar los ascensos de mandos superiores de la Guardia Nacional (GN) que lleve a cabo la titular del Ejecutivo, como ya sucede con grados militares y navales.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Encuentran en Nuevo León caso de gusano barrenador del ganado,"El Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria (Senasica) interceptó en Nuevo León un animal con gusano barrenador del ganado (GBG), el cual atendió de manera inmediata a fin de evitar que se presente un brote en esa entidad.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
"Alicia Bárcena llama a “abandonar modelos extractivistas” en Semana del Clima, en NY","El cambio climático es el mayor desafío de nuestro tiempo, pero también la oportunidad histórica de transformar nuestras sociedades hacia la justicia, la sostenibilidad y la paz, señaló Alicia Bárcena, titular de la Secretaria de Medio Ambiente y Recursos Naturales (Semarnat), quien participó en la ceremonia de apertura de la Semana del Clima 2025, en Nueva York, en el marco del 80 periodo de sesiones de la Asamblea General de Naciones Unidas.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Presas superan niveles históricos,"La mayor parte de las presas en el país se encuentran por arriba de su promedio histórico, con excepción de las que se encuentran en Baja California, Sonora y Sinaloa, donde la temporada de lluvias no ha sido tan abundante, afirmó la presidenta Claudia Sheinbaum Pardo. Incluso en el sistema Cutzamala hay un mayor nivel de agua, por lo que, a diferencia de los últimos cuatro años, cuando se tenía que restringir el suministro por la escasez, para 2026 no tendrá que acudirse a esta restricción.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Julio Hernández López: Astillero,"En el difícil vaivén entre principios    y pragmatismo, bajo presión incesante de Donald Trump y con necesidad imperiosa de mantener y promover inversiones extranjeras en México, la presidenta Sheinbaum ha salido, tarde y cuando una parte creciente del panorama mundial va siendo propicia, a pronunciar la palabra temporalmente desterrada, “genocidio”, y a reiterar la postura equilibrista de los dos estados, Israel y Palestina.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Panista presenta demanda de juicio político contra Adán Augusto López,"Una demanda de juicio político en contra del senador Adán Augusto López Hernández fue presentada ayer en la Cámara de Diputados por parte de la panista María Elena Pérez Jaén, por presuntos actos y omisiones que favorecieron al crimen organizado cuando fue gobernador de Tabasco, entre enero de 2019 y agosto de 2021.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Proveedora incumplió con entrega de algunos fármacos: Sheinbaum,"La presidenta Claudia Sheinbaum Pardo dio a conocer que algunos de los medicamentos adquiridos para abastecer el sector salud no han sido entregados por incumplimiento de la empresa proveedora, pero afirmó que pese a ello “va avanzando muy bien la distribución” para el IMSS Bienestar.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
"Madera, 60 años del inicio de una historia de lucha",,https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
Declaran Sitio de Memoria tumba colectiva,"Por medio de un decreto, la Secretaría de Gobernación declaró Sitio de Memoria la tumba colectiva de miembros del Grupo Popular Guerrillero, quienes atacaron el cuartel militar de Ciudad Madera, Chihuahua, en 1965, hecho que se convirtió en antecedente de la lucha guerrillera en México y marcó el inicio de las guerrillas modernas en el país.",https://www.jornada.com.mx/rss/politica.xml,"Tue, 23 Sep 2025 09:31:12 GMT",0,No
